tadig,country,network,access_fee_eur,data_per_mb,is_prohibited,no_roaming,data_not_launched,no_resell,comments
JORFL,Jordan,Zain,0.0,0.04,False,False,False,False,
KAZ77,Kazakhstan,Mobile Telecom-Service LLP,0.0,0.01,False,False,False,False,
KAZKZ,Kazakhstan,K'cell,0.0,30.0,False,False,False,False,
KAZKT,Kazakhstan,Beeline,0.045,0.02,False,False,False,False,Access fee
KENKC,Kenya,Airtel,0.0,0.5,False,False,False,False,
KENSA,Kenya,Safaricom,0.0,0.1,False,False,False,False,
KENTK,Kenya,Telkom (Orange),0.0,0.2,False,False,False,False,
KORKF,Korea Republic of,KT,0.3,0.06,False,False,False,False,Access fee
KORSK,Korea Republic of,SK Telecom,0.0,0.06,False,False,False,False,
K0001,Kosovo,IPKO,0.0,0.05,False,False,False,False,
KWTKT,Kuwait,KTC,0.0,0.06,False,False,False,False,
KWTMT,Kuwait,Zain,0.0,0.06,False,False,False,False,
KWTNM,Kuwait,Wataniya Telecom,0.0,0.2,False,False,False,False,
KGZMC,Kyrgyzstan,MegaCom,0.0,0.2,False,False,False,False,
KGZNT,Kyrgyzstan,NURTelecom,0.0,0.06,False,False,False,False,
KGZ01,Kyrgyzstan,Sky Mobile,0.045,0.02,False,False,False,False,Access fee
LAOTL,Lao People's Democratic Republic,BEELINE LAO,0.0,0.06,False,False,False,False,
LAOAS,Lao People's Democratic Republic,Star Telecom,0.0,30.0,True,False,False,False,prohibited network
LVALM,Latvia,LMT Gsm,0.055,0.01,False,False,False,False,Access fee
LVABC,Latvia,Tele2,0.0,0.006,False,False,False,False,
LVABT,Latvia,Bite,0.0,0.01,False,False,False,False,
LBNLC,Lebanon,touch,0.0,1.0,False,False,False,False,
LBNFL,Lebanon,ALFA,0.0,2.0,False,False,False,False,
LSOVL,Lesotho,Vodacom Lesotho (Pty) Ltd,0.0,0.0,False,False,False,False,services not available
LBRLC,Liberia,MTN Liberia,0.0,0.0,False,False,False,False,
LBR07,Liberia,Orange,0.0,30.0,False,False,False,False,
LBY01,Libya,Al Madar Al Jadid,0.0,30.0,False,False,False,False,
LIEMK,Liechtenstein,Telecom Liechtenstein,0.0,0.01,False,False,False,False,
LIEVE,Liechtenstein,Orange,0.0,0.01,False,False,False,False,
LTUOM,Lithuania,Omnitel,0.055,0.01,False,False,False,False,Access fee
LTU03,Lithuania,UAB Tele2,0.0,0.006,False,False,False,False,
LTUMT,Lithuania,Bite Gsm,0.0,0.01,False,False,False,False,
LUXPT,Luxembourg,POST,0.0,0.01,False,False,False,False,
LUXTG,Luxembourg,Tango,0.0,0.01,False,False,False,False,
LUXVM,Luxembourg,Orange,0.022,0.006,False,False,False,False,Access fee
MACCT,Macao,CTM,0.0,0.06,False,False,False,False,
MACHT,Macao,Hutchison Htmcl,0.0,0.2,False,False,False,False,
MKDCC,Macedonia Republic of,ONE DOO Skopje,0.0,0.06,False,False,False,False,
MKDNO,Macedonia Republic of,Vip Operator,0.0,0.06,False,False,False,False,
MKDMM,Macedonia Republic of,MobiMak,0.0,0.06,False,False,False,False,
MDGCO,Madagascar,Airtel,0.0,0.5,False,False,False,False,
MDGTM,Madagascar,TELMA,0.0,30.0,False,False,False,False,
MWICP,Malawi,Callpoint900,0.0,30.0,False,False,False,False,
MWICT,Malawi,Airtel,0.0,0.5,False,False,False,False,
MYSBC,Malaysia,Maxis,0.0,0.06,False,False,False,False,
MYSCC,Malaysia,Celcom,0.0,0.06,False,False,False,False,
MYSMT,Malaysia,Digi Telecom,0.0,0.06,False,False,False,False,
MDV01,Maldives,DhiMobile,0.0,30.0,False,False,False,False,
MDVWM,Maldives,Ooredo (Wataniya),0.0,30.0,False,False,False,False,
MLI02,Mali,Orange Mali SA,0.0,1.0,False,False,False,False,
MLTGO,Malta,Go Mobile,0.0,0.01,False,False,False,False,
MLTMM,Malta,Melita Mobile Ltd.,0.0,0.01,False,False,False,False,
MLTTL,Malta,Vodafone Malta,0.0,0.006,False,False,False,False,
GLP01,Martinique,Orange,0.0,0.01,False,False,False,False,
MRTCH,Mauritania,Chinguitel,0.0,0.5,False,False,False,False,
MRTMM,Mauritania,Mauritel Mobiles,0.0,0.5,True,False,False,False,prohibited network
MRTMT,Mauritania,Mattel,0.0,0.5,False,False,False,False,
MUSCP,Mauritius,Orange Mauritius,0.0,0.5,False,False,False,False,
MUSEM,Mauritius,Emtel,0.0,1.0,False,False,False,False,
MUSMT,Mauritius,Mahanagar Telephone MTML,0.0,1.0,False,False,False,False,
22222,Mayotte,22222,0.0,0.0,False,False,False,False,
MEXNC,Mexico,Nextel - Mexico,0.0,1.0,False,False,True,False,data not launched
MEXIU,Mexico,Iusacell,0.0,1.0,False,True,False,False,no permanent roaming
MEXTL,Mexico,Telcel,0.0,0.02,False,True,False,True,"No resell on domestic market, no permanent roaming"
MEXMS,Mexico,Telefonica Moviles Mexico,0.13,0.04,False,False,False,False,Access fee
MDAUN,Moldova Republic of,Moldtelecom,0.0,0.06,False,False,False,False,
MDAVX,Moldova Republic of,ORANGE,0.0,0.02,False,False,False,False,
MDAMC,Moldova Republic of,Moldcell,0.0,0.06,False,False,False,False,
MCOM2,Monaco,Monaco Telecom,0.0,0.25,False,False,False,False,
MNGMN,Mongolia,UNTLMN,0.0,0.06,False,False,False,False,
MNGMC,Mongolia,Mobicom,0.0,0.1,False,False,False,False,
MNETM,Montenegro,T-mobile,0.0,0.0,False,False,False,False,
MNEPM,Montenegro,Telenor,0.0,0.006,False,False,False,False,
MNEMT,Montenegro,M.tel,0.0,0.02,False,False,False,False,
MSRCW,Montserrat,Cable & Wireless,0.0,0.1,False,False,False,False,
MARM1,Morocco,IAM,0.0,0.05,False,False,False,False,
MARM3,Morocco,Wana,0.0,30.0,False,False,False,False,
MARMT,Morocco,Orange Moroc (MediTel),0.0,0.05,False,False,False,False,
MOZ01,Mozambique,Mcel,0.0,0.2,False,False,False,False,
